Date,Open,Close,Volume,percent_change,trend,30_day_avg_close,high_low_range
2005-10-18,6.57,6.45,152397000,-2.272727272727265,Down,6.525,0.21999999999999975
2005-10-19,6.43,6.78,252170800,5.116279069767442,Up,6.61,0.45999999999999996
2005-10-20,6.72,6.93,339440500,2.2123893805309653,Up,6.69,0.2599999999999998
2005-10-21,7.02,6.87,199181500,-0.8658008658008602,Down,6.726000000000001,0.20000000000000018
2005-10-24,6.82,7.01,152438300,2.037845705967972,Up,6.773333333333333,0.20999999999999996
2005-10-25,6.96,6.93,116281900,-1.1412268188302437,Down,6.795714285714285,0.14999999999999947
2005-10-26,6.95,7.04,157898300,1.587301587301592,Up,6.82625,0.20999999999999996
2005-10-27,7.04,6.84,102885300,-2.8409090909090935,Down,6.827777777777778,0.20000000000000018
2005-10-28,6.92,6.72,192446800,-1.7543859649122824,Down,6.817,0.27999999999999936
2005-10-31,6.81,7.11,235211200,5.803571428571437,Up,6.843636363636364,0.40000000000000036
2005-11-01,7.07,7.1,187421500,-0.14064697609002355,Down,6.864999999999999,0.16000000000000014
2005-11-02,7.13,7.4,214265100,4.225352112676067,Up,6.906153846153846,0.2999999999999998
2005-11-03,7.44,7.64,221095700,3.2432432432432337,Up,6.958571428571429,0.27000000000000046
2005-11-04,7.45,7.55,219508800,-1.1780104712041866,Down,6.998,0.1999999999999993
2005-11-07,7.51,7.44,159707800,-1.4569536423840983,Down,7.025625,0.1900000000000004
2005-11-08,7.4,7.39,118441400,-0.6720430107526977,Down,7.047058823529412,0.15000000000000036
2005-11-09,7.41,7.42,138232500,0.4059539918809235,Up,7.067777777777778,0.14999999999999947
2005-11-10,7.49,7.55,166336100,1.7520215633423166,Up,7.0931578947368426,0.27999999999999936
2005-11-11,7.6,7.6,106362200,0.6622516556291367,Up,7.1185,0.09999999999999964
2005-11-14,7.6,7.59,92483300,-0.13157894736841824,Down,7.140952380952381,0.13000000000000078
2005-11-15,7.6,7.69,134210300,1.3175230566534986,Up,7.165909090909091,0.20000000000000018
2005-11-16,7.8,8.02,196128800,4.291287386215854,Up,7.20304347826087,0.23999999999999932
2005-11-17,8.1,7.96,169051400,-0.748129675810469,Down,7.234583333333334,0.20000000000000107
2005-11-18,8.06,7.97,131240200,0.1256281407035149,Up,7.264000000000001,0.1299999999999999
2005-11-21,8.0,8.02,127927800,0.6273525721455435,Up,7.293076923076924,0.1800000000000006
2005-11-22,8.0,8.21,135070600,2.369077306733183,Up,7.327037037037038,0.28000000000000025
2005-11-23,8.26,8.28,121463300,0.8526187576126492,Up,7.36107142857143,0.16000000000000014
2005-11-25,8.35,8.56,98753200,3.381642512077309,Up,7.40241379310345,0.25
2005-11-28,8.73,8.6,254629900,0.46728971962615823,Up,7.442333333333335,0.2400000000000002
2005-11-29,8.64,8.41,222858300,-2.20930232558139,Down,7.502666666666667,0.3699999999999992
2005-11-30,8.45,8.37,148918700,-0.4756242568371097,Down,7.566666666666667,0.16000000000000014
2005-12-01,8.51,8.84,203223300,5.615292712066914,Up,7.635333333333334,0.35999999999999943
2005-12-02,8.92,8.97,223940500,1.4705882352941264,Up,7.703333333333334,0.25
2005-12-05,8.88,8.87,145917800,-1.1148272017837393,Down,7.7700000000000005,0.11999999999999922
2005-12-06,9.13,9.14,214257400,3.0439684329199705,Up,7.841,0.1899999999999995
2005-12-07,9.16,9.13,169866200,-0.1094091903719889,Down,7.914333333333333,0.16000000000000014
2005-12-08,9.04,9.15,197619800,0.21905805038334691,Up,7.984666666666667,0.1999999999999993
2005-12-09,9.16,9.18,138850600,0.32786885245900943,Up,8.062666666666667,0.16000000000000014
2005-12-12,9.24,9.25,131248600,0.7625272331154715,Up,8.147,0.10000000000000142
2005-12-13,9.24,9.26,123454100,0.10810810810810581,Up,8.218666666666666,0.16000000000000014
2005-12-14,8.95,8.89,362679100,-3.995680345572346,Down,8.278333333333334,0.3800000000000008
2005-12-15,8.97,8.91,140290500,0.2249718785151808,Up,8.328666666666667,0.17999999999999972
2005-12-16,8.91,8.78,167792800,-1.4590347923681346,Down,8.366666666666667,0.16000000000000014
2005-12-19,8.78,8.81,132323800,0.34168564920274647,Up,8.408666666666667,0.19000000000000128
2005-12-20,8.84,8.9,119777000,1.0215664018161164,Up,8.457333333333333,0.16000000000000014
2005-12-21,8.96,9.07,118934200,1.9101123595505607,Up,8.513333333333334,0.14000000000000057
2005-12-22,9.12,9.14,92652700,0.7717750826901906,Up,8.57066666666667,0.10999999999999943
2005-12-23,9.16,9.05,57464400,-0.9846827133479196,Down,8.620666666666667,0.11999999999999922
2005-12-27,9.14,9.16,147647500,1.215469613259662,Up,8.672666666666668,0.14999999999999858
2005-12-28,9.19,9.08,99528800,-0.873362445414848,Down,8.722333333333333,0.17999999999999972
2005-12-29,9.11,8.82,122506300,-2.8634361233480154,Down,8.76,0.28999999999999915
2005-12-30,8.75,8.87,156065700,0.5668934240362691,Up,8.788333333333334,0.2599999999999998
2006-01-03,8.94,9.23,201808600,4.05862457722662,Up,8.83066666666667,0.3100000000000005
2006-01-04,9.27,9.25,154900900,0.21668472372697264,Up,8.873333333333335,0.1800000000000015
2006-01-05,9.24,9.18,112355600,-0.7567567567567599,Down,8.912000000000003,0.15000000000000036
2006-01-06,9.29,9.42,176114400,2.614379084967323,Up,8.952333333333334,0.27000000000000135
2006-01-09,9.47,9.39,168760200,-0.31847133757961105,Down,8.989333333333333,0.17999999999999972
2006-01-10,9.41,9.98,569967300,6.283280085197015,Up,9.036666666666667,0.75
2006-01-11,10.35,10.36,373448600,3.807615230460912,Up,9.095333333333334,0.27000000000000135
2006-01-12,10.49,10.41,320202400,0.4826254826254895,Up,9.162,0.34999999999999964
2006-01-13,10.49,10.57,194076400,1.5369836695485124,Up,9.235333333333333,0.17999999999999972
2006-01-17,10.58,10.46,208905900,-1.0406811731314989,Down,9.289333333333332,0.3100000000000005
2006-01-18,10.26,10.18,300159300,-2.6768642447418842,Down,9.329666666666666,0.28000000000000114
2006-01-19,10.03,9.76,423962000,-4.125736738703339,Down,9.359333333333332,0.35999999999999943
2006-01-20,9.79,9.39,283689700,-3.7909836065573694,Down,9.367666666666667,0.5200000000000014
2006-01-23,9.39,9.59,264932500,2.129925452609151,Up,9.383,0.4399999999999995
2006-01-24,9.72,9.39,285563600,-2.085505735140764,Down,9.390999999999996,0.45000000000000107
2006-01-25,9.55,9.16,318946600,-2.449414270500537,Down,9.39033333333333,0.5300000000000011
2006-01-26,9.2,8.93,295346800,-2.5109170305676902,Down,9.379666666666667,0.4299999999999997
2006-01-27,9.01,8.89,238466200,-0.44792833146695576,Down,9.367333333333333,0.3100000000000005
2006-01-30,8.79,9.26,349600300,4.161979752530924,Up,9.379666666666663,0.7100000000000009
2006-01-31,9.32,9.32,228385500,0.6479481641468736,Up,9.393333333333334,0.3200000000000003
2006-02-01,9.25,9.31,130296600,-0.1072961373390535,Down,9.411,0.22999999999999865
2006-02-02,9.27,8.9,176830500,-4.4038668098818485,Down,9.413999999999998,0.41000000000000014
2006-02-03,8.92,8.87,173030900,-0.337078651685406,Down,9.413,0.22000000000000064
2006-02-06,8.89,8.31,412941900,-6.313416009019152,Down,9.387666666666666,0.7099999999999991
2006-02-07,8.43,8.35,347207700,0.48134777376653604,Up,9.361333333333334,0.34999999999999964
2006-02-08,8.45,8.49,238278600,1.6766467065868331,Up,9.342666666666668,0.379999999999999
2006-02-09,8.53,8.02,287441000,-5.535924617196709,Down,9.304666666666668,0.580000000000001
2006-02-10,8.05,8.31,440119400,3.6159600997506347,Up,9.279,0.5899999999999999
2006-02-13,8.23,7.99,220874500,-3.8507821901323736,Down,9.251333333333333,0.2599999999999998
2006-02-14,8.04,8.35,290234700,4.505632040050055,Up,9.234000000000002,0.39000000000000057
2006-02-15,8.29,8.55,289942800,2.3952095808383365,Up,9.211333333333336,0.34999999999999964
2006-02-16,8.63,8.71,237043800,1.8713450292397675,Up,9.193333333333335,0.1899999999999995
2006-02-17,8.68,8.68,143999800,-0.3444316877152828,Down,9.17666666666667,0.16000000000000014
2006-02-21,8.71,8.53,194901700,-1.7281105990783454,Down,9.146999999999998,0.2599999999999998
2006-02-22,8.52,8.8,244559700,3.165298944900368,Up,9.127333333333334,0.4599999999999991
2006-02-23,8.86,8.86,214229400,0.6818181818181672,Up,9.090000000000002,0.1899999999999995
2006-02-24,8.91,8.82,133686000,-0.4514672686230152,Down,9.03866666666667,0.21000000000000085
2006-02-27,8.89,8.76,197810200,-0.680272108843543,Down,8.983666666666668,0.17999999999999972
2006-02-28,8.84,8.45,316745100,-3.5388127853881337,Down,8.913000000000002,0.5299999999999994
2006-03-01,8.5,8.53,190954400,0.9467455621301784,Up,8.848666666666668,0.17999999999999972
2006-03-02,8.52,8.59,156318400,0.7033997655334173,Up,8.79566666666667,0.16000000000000014
